Subject,Age,Sex,DirectGenDK,DirectGenDK.RT,Age when event occurred,Vividness,Intensity of Emotion,Valence,Perspective,Perspective.RT,WordsPresented,CueType,logRT
1,19,male,Direct,16845,11,4,1,5,2,6436,1Humorous,emo,4.22647101531714
1,19,male,Gen,3183,9,3,1,5,2,7705,1Amazed,emo,3.502836638621
1,19,male,Gen,8731,17,4,2,5,2,5515,1Devoted,emo,3.9410639882199
1,19,male,Gen,13455,14,4,4,3,1,7303,1Eager,emo,4.12888370209977
1,19,male,Gen,1699,19,4,2,5,1,12129,1Enjoying,emo,3.23019337886905
1,19,male,Gen,2974,16,5,4,5,3,7195,1Excited,emo,3.47334096418594
1,19,male,Gen,4302,17,5,2,5,3,4893,1Happy,emo,3.63367040605144
1,19,male,Gen,4415,16,3,4,3,3,7418,1Hopeful ,emo,3.64493070791359
1,19,male,Gen,11700,18,3,3,5,2,8731,1Proud,emo,4.06818586174616
1,19,male,Gen,6614,17,3,2,4,2,2094,1Relieved,emo,3.82046419057768
1,19,male,Gen,1636,19,5,3,5,3,3456,2Apple,object,3.2137832993353
1,19,male,Gen,2698,14,3,2,1,3,3127,2Arm,object,3.43104194533589
1,19,male,Gen,2805,18,3,1,2,1,2396,2Book,object,3.44793286559218
1,19,male,Gen,20835,17,5,2,5,3,6101,2Car,object,4.3187935047933
1,19,male,Gen,1538,18,4,2,5,1,2651,2Grass,object,3.18695633546541
1,19,male,Gen,29346,12,4,2,2,1,21271,2Insect,object,4.46754891320493
1,19,male,Gen,3602,17,3,3,3,2,2059,2Potato,object,3.55654370848351
1,19,male,Gen,31573,13,3,2,5,3,6706,2River,object,4.49931584960033
1,19,male,Gen,3090,18,2,3,3,1,2227,2Salad,object,3.48995847942483
1,19,male,DK,18498,10,3,2,3,1,2283,2Chair,object,4.26712477511015
2,19,male,Direct,8921,19,3,2,3,3,3725,1Devoted,emo,3.95041353936938
2,19,male,Direct,1822,18,4,3,5,2,1206,1Excited,emo,3.26054837263698
2,19,male,Direct,14161,18,5,3,5,2,21813,1Happy,emo,4.15109392278506
2,19,male,Direct,9119,18,4,4,1,2,13116,1Hopeful ,emo,3.9599472157085
2,19,male,Direct,21098,18,4,2,5,2,19527,1Proud,emo,4.32424128799287
2,19,male,Gen,15522,18,4,4,5,2,3550,1Amazed,emo,4.19094767910019
2,19,male,Gen,26262,8,2,1,2,2,2251,1Eager,emo,4.41932779699676
2,19,male,Gen,13207,10,2,3,5,2,2702,1Enjoying,emo,4.1208041778408
2,19,male,Gen,1707,9,1,2,5,2,3781,1Humorous,emo,3.23223352111473
2,19,male,Gen,4519,17,5,5,4,3,3094,1Relieved,emo,3.6550423413312
2,19,male,Direct,11517,14,5,4,1,2,1651,2Chair,object,4.06133936683707
2,19,male,Direct,3721,15,4,4,2,2,8618,2River,object,3.57065967002153
2,19,male,Direct,7559,19,4,1,3,1,2391,2Salad,object,3.87846434534147
2,19,male,Gen,16156,12,5,3,5,2,1766,2Apple,object,4.20833384449795
2,19,male,Gen,14005,4,4,5,1,2,4094,2Arm,object,4.14628311315959
2,19,male,Gen,1717,13,4,3,3,2,1489,2Book,object,3.23477029516092
2,19,male,Gen,24305,11,2,3,4,2,9323,2Car,object,4.38569562541056
2,19,male,Gen,2582,18,4,4,4,1,5913,2Grass,object,3.4119562379304
2,19,male,Gen,1308,14,2,3,4,2,1837,2Potato,object,3.11660774398825
2,19,male,DK,16043,7,3,4,1,1,4314,2Insect,object,4.20528558350053
3,18,female,Direct,5360,18,5,3,5,3,2200,1Amazed,emo,3.72916478969277
3,18,female,Gen,1414,17,4,4,4,3,2312,1Enjoying,emo,3.15044940946088
3,18,female,Gen,5951,18,5,4,5,2,1440,1Excited,emo,3.77458995026479
3,18,female,Gen,2261,17,3,3,5,3,1413,1Happy,emo,3.35430056234536
3,18,female,Gen,15661,11,4,2,3,2,7373,1Humorous,emo,4.19481948956204
3,18,female,Gen,3840,17,5,5,4,1,3521,1Proud,emo,3.58433122436753
3,18,female,Gen,2497,16,4,4,2,2,2481,1Relieved,emo,3.39741854235135
3,18,female,DK,2092,16,2,2,2,3,1352,1Devoted,emo,3.32056168019524
3,18,female,DK,5737,17,2,2,3,3,3186,1Eager,emo,3.75868484988244
3,18,female,DK,2918,17,3,3,3,3,960,1Hopeful ,emo,3.46508528755743
3,18,female,Direct,1821,16,3,3,3,3,1620,2Apple,object,3.26030994579492
3,18,female,Direct,11568,13,3,2,3,1,3671,2Book,object,4.06325827995046
3,18,female,Direct,1207,18,4,3,3,2,2114,2Salad,object,3.08170727009735
