"","x"
"1",18
"2",11
"3",19
"4",12
"5",11
"6",16
"7",14
"8",11
"9",19
"10",18
"11",16
"12",19
"13",13
"14",12
"15",20
"16",20
"17",19
"18",13
"19",14
"20",17
"21",17
"22",14
"23",13
"24",15
"25",18
"26",19
"27",13
"28",18
"29",13
"30",18
"31",14
"32",12
"33",19
"34",12
"35",13
"36",19
"37",13
"38",14
"39",16
"40",12
"41",17
"42",11
"43",11
"44",20
"45",15
"46",19
"47",19
"48",12
"49",13
"50",19
"51",13
"52",13
"53",19
"54",15
"55",16
"56",19
"57",19
"58",19
"59",15
"60",17
"61",17
"62",13
"63",18
"64",16
"65",13
"66",18
"67",19
"68",13
"69",18
"70",11
"71",19
"72",17
"73",13
"74",13
"75",15
"76",14
"77",20
"78",11
"79",14
"80",19
"81",11
"82",14
"83",12
"84",13
"85",18
"86",11
"87",18
"88",18
"89",14
"90",11
"91",18
"92",18
"93",14
"94",19
"95",11
"96",18
"97",17
"98",18
"99",19
"100",11
